customer_id,TBS
23,22.5
30,41.0
32,15.0
48,28.333333333333332
50,32.0
76,295.0
95,20.5
109,20.0
146,31.0
155,3.0
156,69.0
161,15.0
194,112.66666666666667
196,104.0
198,82.0
204,195.0
205,9.0
216,53.0
226,16.333333333333332
231,32.111111111111114
234,36.0
241,117.5
253,49.0
260,7.0
280,4.666666666666667
292,22.8
329,31.0
331,36.2
335,27.0
337,8.5
345,117.5
347,105.0
348,13.0
375,118.0
379,56.25
386,6.25
420,33.25
438,35.77777777777778
470,78.5
478,53.0
481,71.5
488,46.833333333333336
497,143.0
524,82.0
525,9.0
552,88.5
591,28.75
592,63.0
595,10.0
599,52.0
603,86.0
606,14.181818181818182
615,27.428571428571427
651,35.0
653,15.5
680,55.0
687,132.0
708,28.571428571428573
714,30.714285714285715
735,20.0
740,104.0
756,81.5
760,168.0
765,25.0
774,79.5
775,13.0
794,139.0
807,5.0
819,81.5
834,55.0
839,27.25
840,132.0
845,48.5
865,88.0
875,18.5
883,12.923076923076923
890,88.0
900,16.5
911,50.5
916,41.75
918,9.0
919,62.0
932,26.1
942,25.0
951,24.666666666666668
954,17.833333333333332
958,4.888888888888889
977,24.666666666666668
978,87.0
981,34.5
983,46.0
989,4.6
992,35.77777777777778
995,28.0
1004,60.0
1006,14.333333333333334
1007,27.3
1013,29.0
1016,32.0
1024,39.5
1042,55.0
1055,36.8
1059,52.0
1063,86.0
1071,32.4
1072,19.5
1076,7.5
1080,24.0
1081,12.0
1082,14.545454545454545
1084,13.0
1089,54.166666666666664
1101,76.0
1104,43.4
1117,17.25
1119,69.33333333333333
1133,29.0
1137,117.0
1140,11.928571428571429
1144,17.5
1181,28.8
1192,47.666666666666664
1200,83.0
1203,12.0
1205,65.6
1213,52.0
1215,16.444444444444443
1220,55.5
1238,11.714285714285714
1244,42.666666666666664
1245,29.181818181818183
1274,21.2
1281,13.0
1296,22.333333333333332
1314,33.0
1338,30.0
1351,13.727272727272727
1360,30.181818181818183
1376,46.666666666666664
1384,10.0
1396,4.0
1411,59.75
1413,11.0
1415,13.333333333333334
1420,7.0
1428,71.75
1441,57.4
1447,53.0
1451,37.0
1453,35.714285714285715
1456,55.0
1472,63.0
1475,17.25
1480,20.75
1486,105.0
1489,60.333333333333336
1497,40.0
1506,151.0
1507,38.666666666666664
1512,22.333333333333332
1513,120.0
1517,24.666666666666668
1520,11.833333333333334
1532,81.0
1534,95.33333333333333
1555,79.0
1571,4.0
1577,16.285714285714285
1583,54.0
1584,6.5
1593,13.294117647058824
1594,23.25
1598,11.8
1618,45.0
1651,53.666666666666664
1657,5.0
1682,59.666666666666664
1683,57.0
1692,39.625
1698,10.090909090909092
1732,34.714285714285715
1743,4.5
1776,31.666666666666668
1779,6.0
1794,70.5
1801,17.25
1809,54.333333333333336
1812,13.5
1857,8.0
1861,10.0
1866,21.11111111111111
1879,24.333333333333332
1894,127.0
1905,53.0
1909,1.0
1915,34.125
1927,39.333333333333336
1941,2.75
1961,32.0
1962,2.0
1965,76.0
1968,55.0
1969,10.0
1986,111.0
1996,18.5
1997,6.0
2005,16.5
2034,47.0
2039,24.5
2059,44.0
2105,132.0
2119,9.5
2139,24.0
2149,84.0
2164,23.6
2167,41.0
2183,37.0
2185,25.307692307692307
2190,63.0
2191,56.5
2193,15.25
2197,29.0
2200,38.0
2208,48.666666666666664
2216,60.4
2257,33.875
2262,55.5
2263,44.333333333333336
2269,10.0
2290,27.0
2298,51.0
